LAT;-29,18597;;;;;;;;;
LONG;-51,58266;;;;;;;;;
;HC Air temperature [°C];Dew Point [°C];Solar radiation [W/m2];HC Relative humidity [%];Precipitation [mm];Leaf Wetness [min];Wind speed [m/s];;Battery [mV];
Date/Time;avg;avg;avg;avg;sum;time;avg;max;last;Daily ET0 [mm]
2020-11-04 13:00:00;18,68;5,2;983;41,87;0;0;0,8;1,2;6904;
2020-11-04 12:00:00;18,04;6,4;862;47,54;0;0;0,8;1,3;6904;
2020-11-04 11:00:00;16,68;7,5;790;55,51;0;0;0,6;1,1;6914;
2020-11-04 10:00:00;15,23;8,2;567;64,03;0;0;0,5;0,9;6914;
2020-11-04 09:00:00;13,66;9,2;321;75,38;0;0;0,4;1,1;6914;
2020-11-04 08:00:00;12,22;9,7;77;85,87;0;0;0,2;0,5;6806;
2020-11-04 07:00:00;11,49;10,1;0;92,08;0;0;0;0,5;6532;
2020-11-04 06:00:00;11,13;10,6;0;97,54;0;0;0;0,3;6532;
2020-11-04 05:00:00;11,21;11;0;99,81;0;0;0;0;6542;
2020-11-04 04:00:00;10,61;10,5;0;99,96;0;0;0;0,2;6532;
2020-11-04 03:00:00;10,36;10;0;98,52;0;0;0;0;6532;
2020-11-04 02:00:00;11,39;10,9;0;97,78;0;0;0;0,2;6542;
2020-11-04 01:00:00;11,09;10,9;0;99,36;0;0;0;0;6552;
2020-11-04 00:00:00;11,62;10,4;0;93,53;0;0;0;0,3;6542;4,3
2020-11-03 23:00:00;12,65;10,6;0;88,3;0;0;0,2;0,9;6582;
2020-11-03 22:00:00;13,38;10,9;0;86,12;0;0;0,6;1,3;6610;
2020-11-03 21:00:00;13,63;10,3;0;81,12;0;0;0,6;1,1;6678;
2020-11-03 20:00:00;15,2;10,4;15;74,3;0;0;0,8;1,3;6786;
2020-11-03 19:00:00;17,74;10,6;206;63,91;0;0;1;1,5;6874;
2020-11-03 18:00:00;19,93;11;432;57,18;0;0;0,9;1,4;6894;
2020-11-03 17:00:00;21,51;10,8;647;51,17;0;0;0,9;1,4;6904;
2020-11-03 16:00:00;22,93;8,1;770;39,47;0;0;0,4;0,9;6904;
2020-11-03 15:00:00;22,73;9,2;987;43,2;0;0;0,7;1,3;6904;
2020-11-03 14:00:00;21,99;10,7;887;49,28;0;0;0,6;1,2;6904;
2020-11-03 13:00:00;22,08;10,7;921;49,06;0;0;0,6;1,4;6894;
2020-11-03 12:00:00;20,83;10,7;877;53,31;0;0;0,5;1,2;6904;
2020-11-03 11:00:00;20,28;11;878;56,22;0;0;0,3;0,8;6904;
2020-11-03 10:00:00;18,44;10,8;538;61,89;0;0;0,2;0,5;6904;
2020-11-03 09:00:00;15,79;10,4;378;71,36;0;0;0,1;0,6;6914;
