LAT;-29,13956;;;;;;;;
LONG;-51,61112;;;;;;;;
;HC Air temperature [°C];Dew Point [°C];Solar radiation [W/m2];HC Relative humidity [%];Precipitation [mm];Leaf Wetness [min];Wind speed [m/s];Battery [mV];
Date/Time;avg;avg;avg;avg;sum;time;avg;last;Daily ET0 [mm]
2019-12-06 11:00:00;19,89;15,3;984;76,52;0;0;0,2;6678;
2019-12-06 10:00:00;16,57;16,5;850;100;0;25;0;6738;
2019-12-06 09:00:00;14,25;14,2;328;100;0;60;0;6552;
2019-12-06 08:00:00;13,44;13,4;151;100;0;60;0;6532;
2019-12-06 07:00:00;13;12,9;60;100;0;60;0;6552;
2019-12-06 06:00:00;12,59;12,5;0;100;0;60;0;6444;
2019-12-06 05:00:00;12,21;12,1;0;100;0;60;0;6424;
2019-12-06 04:00:00;12,82;12,7;0;100;0;60;0;6424;
2019-12-06 03:00:00;13,19;13,1;0;100;0;60;0;6424;
2019-12-06 02:00:00;13,81;13,7;0;100;0;30;0;6424;
2019-12-06 01:00:00;14,41;14,3;0;100;0;0;0;6424;
2019-12-06 00:00:00;14,98;14,9;0;100;0;0;0;6424;4,4
2019-12-05 23:00:00;15,99;15,4;0;96,79;0;0;0;6434;
2019-12-05 22:00:00;18,13;12,4;0;70,37;0;0;0;6434;
2019-12-05 21:00:00;19,44;11,7;0;61,78;0;0;0;6444;
2019-12-05 20:00:00;19,61;12;0;62,41;0;0;0,4;6444;
2019-12-05 19:00:00;21,25;13,1;65;60,65;0;0;0,2;6668;
2019-12-05 18:00:00;22,66;14,1;270;59,33;0;0;0,3;6738;
2019-12-05 17:00:00;23,26;15,2;613;61,5;0;0;0,2;6854;
2019-12-05 16:00:00;23,73;15,3;758;60,06;0;0;0,7;6952;
2019-12-05 15:00:00;22,74;16,4;946;68,1;0;0;0,3;6962;
2019-12-05 14:00:00;21,49;16,9;800;76,14;0;0;0,1;6894;
2019-12-05 13:00:00;20,76;16,8;837;79,23;0;0;0,4;6962;
2019-12-05 12:00:00;20,89;17,8;667;83,17;0;0;0,2;6864;
2019-12-05 11:00:00;19,93;18,3;636;91,47;0;0;0,6;6962;
2019-12-05 10:00:00;19,28;19;552;99,49;0;5;0,6;6884;
2019-12-05 09:00:00;18;17,9;424;100;0;55;1,1;6942;
2019-12-05 08:00:00;17,13;17;200;100;0;60;0,8;6826;
2019-12-05 07:00:00;16,43;16,3;45;100;0;60;2,1;6582;
2019-12-05 06:00:00;17,34;17,3;0;100;0;60;1;6424;
2019-12-05 05:00:00;18,13;18;0;100;0;60;0;6434;
2019-12-05 04:00:00;18,31;18,2;0;100;0;60;0;6434;
2019-12-05 03:00:00;18,53;18,4;0;100;0;60;0;6434;
2019-12-05 02:00:00;18,43;18,3;0;100;0;60;0;6434;
2019-12-05 01:00:00;18,51;18,4;0;100;0;60;0,1;6434;
2019-12-05 00:00:00;18,72;18,6;0;100;0;60;0,3;6434;4,5
2019-12-04 23:00:00;18,85;18,8;0;100;0;60;0;6444;
2019-12-04 22:00:00;18,94;18,9;0;100;0;60;0;6454;
