LAT;-29,11099;;;;;;;;
LONG;-51,40176;;;;;;;;
;Temperatura do Ar [°C];Ponto de orvalho [°C];Radiação Solar [W/m2];Umidade Relativa do Ar [%];Precipitação [mm];Molhamento Foliar [min];Velocidade do Vento [m/s];Bateria [mV];Daily ET0 [mm]
Data/Horário;avg;avg;avg;avg;sum;time;avg;last;
2020-09-15 17:00:00;15,58;11;34;75,09;0;0;1,1;6416;
2020-09-15 16:00:00;17,31;11,6;51;69,92;0;0;0,7;6660;
2020-09-15 15:00:00;19,39;12,1;242;63,83;0;0;1,3;6826;
2020-09-15 14:00:00;21,03;12,9;638;60,78;0;0;1,4;6982;
2020-09-15 13:00:00;18,69;11,7;578;64,63;0;0;1,4;6992;
2020-09-15 12:00:00;17,06;10,6;653;66,38;0;0;1,9;6992;
2020-09-15 11:00:00;14,29;8,2;462;67,65;0;0;1,5;6992;
2020-09-15 10:00:00;11,23;5,7;285;69,43;0;0;1,3;6952;
2020-09-15 09:00:00;8,95;3,2;206;68,27;0;0;0,6;6786;
2020-09-15 08:00:00;6,23;1,1;49;70,81;0;0;0,3;6552;
2020-09-15 07:00:00;4,26;0,6;10;78,02;0;0;0,1;6474;
2020-09-15 06:00:00;4,28;1;0;80,08;0;0;1;6464;
2020-09-15 05:00:00;4,41;1,6;0;82,93;0;0;0,7;6474;
2020-09-15 04:00:00;4,47;3,4;0;93,61;0;0;0,6;6474;
2020-09-15 03:00:00;4,82;3,8;0;94,32;0;0;0,4;6484;
2020-09-15 02:00:00;5,25;3,9;0;92,17;0;0;0,5;6494;
2020-09-15 01:00:00;5,37;4,1;0;92,7;0;0;0,2;6494;
2020-09-15 00:00:00;5,79;4,2;0;90,78;0;0;0,6;6502;1,1
2020-09-14 23:00:00;6,09;3,9;0;86,78;0;0;0,6;6502;
2020-09-14 22:00:00;6,87;2,7;0;75,46;0;0;0,8;6502;
2020-09-14 21:00:00;7,92;6,1;0;89,38;0;0;1;6512;
2020-09-14 20:00:00;8,52;6,6;0;88,88;0;0;0,4;6552;
2020-09-14 19:00:00;8,96;6,8;0;87,34;0;0;0,4;6640;
2020-09-14 18:00:00;9,87;7,6;42;86,64;0;0;0,9;6766;
2020-09-14 17:00:00;10,34;8,7;157;90,32;0;0;0,9;6894;
2020-09-14 16:00:00;9,34;9,2;107;99,9;0,2;0;1;6932;
2020-09-14 15:00:00;10,15;10,1;52;100;0;0;0,6;6776;
2020-09-14 14:00:00;11,14;11;105;100;0;0;0,9;6826;
2020-09-14 13:00:00;12,81;12,7;302;100;0;25;1,3;6904;
2020-09-14 12:00:00;12,73;12,6;158;100;0;60;1,5;6816;
2020-09-14 11:00:00;13,92;13,8;31;100;0,2;60;1,3;6552;
2020-09-14 10:00:00;15,89;15,8;22;100;0,4;60;0,8;6532;
2020-09-14 09:00:00;16,12;16;0;100;0;60;0,5;6484;
2020-09-14 08:00:00;16,41;16,3;19;100;0,6;60;0,9;6522;
2020-09-14 07:00:00;17,27;17,2;0;100;0,4;60;0,8;6484;
2020-09-14 06:00:00;17,37;17,3;0;100;2,2;60;1,1;6484;
2020-09-14 05:00:00;17,32;17,2;0;100;3,6;60;1,6;6494;
