LAT;-29,17768;;;;;;;;
LONG;-51,55531;;;;;;;;
;HC Air temperature [°C];Dew Point [°C];Solar radiation [W/m2];HC Relative humidity [%];Precipitation [mm];Leaf Wetness [min];Wind speed [m/s];Battery [mV];
Date/Time;avg;avg;avg;avg;sum;time;avg;last;Daily ET0 [mm]
2020-12-05 16:00:00;16,57;13,9;266;84,79;0;0;0;7088;
2020-12-05 15:00:00;16,74;14;289;84,66;0;0;0;7080;
2020-12-05 14:00:00;16,05;14;186;88,84;0;0;0;7080;
2020-12-05 13:00:00;16,5;13,9;298;85,46;0;0;0;7080;
2020-12-05 12:00:00;16,72;13,4;381;82,04;0;0;0;7088;
2020-12-05 11:00:00;16,03;13,3;274;85,09;0;0;0;7080;
2020-12-05 10:00:00;15,04;13,7;138;92,72;0;0;0;7050;
2020-12-05 09:00:00;15;14,3;74;96,2;0;0;0;6816;
2020-12-05 08:00:00;15,37;14,2;28;93,68;0;0;0;6640;
2020-12-05 07:00:00;15,37;14,2;0;93,5;0;0;0;6610;
2020-12-05 06:00:00;15,24;14,3;0;94,83;0;0;0;6610;
2020-12-05 05:00:00;15,47;14,2;0;93,05;0;0;0;6610;
2020-12-05 04:00:00;15,57;14,3;0;93,01;0;0;0;6620;
2020-12-05 03:00:00;15,71;14;0;90,81;0;0;0;6630;
2020-12-05 02:00:00;15,93;13,8;0;87,9;0;0;0;6630;
2020-12-05 01:00:00;16,27;13,9;0;86,8;0;0;0;6640;
2020-12-05 00:00:00;17,14;14,9;0;88,02;0;0;0;6678;4,6
2020-12-04 23:00:00;17,73;14,5;0;82,36;0;0;0;6728;
2020-12-04 22:00:00;18,92;8,7;0;52,8;0;0;0;6776;
2020-12-04 21:00:00;20,18;10,7;0;55,38;0;0;0;6834;
2020-12-04 20:00:00;22,02;14,2;53;61,88;0;0;0;6932;
2020-12-04 19:00:00;23,69;15,2;217;59,75;0;0;0;7070;
2020-12-04 18:00:00;24,32;15,9;227;60,3;0;0;0;7070;
2020-12-04 17:00:00;25,11;16,2;267;58,7;0;0;0;7060;
2020-12-04 16:00:00;26,86;16,1;691;52,48;0;0;0;7070;
2020-12-04 15:00:00;27,56;15,7;782;49,32;0;0;0;7070;
2020-12-04 14:00:00;28,51;15,4;1195;45,58;0;0;0;7070;
2020-12-04 13:00:00;26,73;15,7;996;51,5;0;0;0;7080;
2020-12-04 12:00:00;24,59;17,1;816;63,86;0;0;0;7080;
2020-12-04 11:00:00;23,58;18,3;916;72,97;0;0;0;7080;
