LAT;DUMMY;;;;;;;;;;
LONG;DUMMY;;;;;;;;;;
;Temperatura do Ar [°C];Ponto de orvalho [°C];Radiação Solar [W/m2];DPV [kPa];Precipitação [mm];Velocidade do Vento [km/h];Veloc Max do Vento [km/h];Painel Solar [mV];Bateria [mV];DeltaT [°C];
Data/Hora;méd;méd;méd;méd;soma;méd;máx;últ;últ;méd;Evapotranspiração Diária [mm]
2020-11-09 11:00:00;20,93;17,8;108;0,41;0;7,2;21,2;8109;6776;2;
2020-11-09 10:00:00;20,69;17,5;84;0,42;0;5,4;12,6;9116;6776;2;
2020-11-09 09:00:00;20,23;17,2;20;0,39;0;6,5;18;4855;6659;2;
2020-11-09 08:00:00;19,81;17;39;0,36;0;7,6;19,8;5277;6662;2;
2020-11-09 07:00:00;19,18;16,2;0;0,36;0;6,8;18,7;2425;6474;2;
2020-11-09 06:00:00;19,2;15,7;0;0,41;0;6,8;14,4;0;6462;2;
2020-11-09 05:00:00;19,23;15,6;0;0,44;0;5,8;13,7;0;6465;2;
2020-11-09 04:00:00;19,2;15,5;0;0,45;0;6,5;16,2;0;6479;2;
2020-11-09 03:00:00;19,06;15,4;0;0,44;0;5,4;15,5;0;6479;2;
2020-11-09 02:00:00;18,92;15,2;0;0,44;0;7,2;18,7;0;6488;2;
2020-11-09 01:00:00;19,3;15,1;0;0,51;0;7,6;17,3;0;6496;3;
2020-11-09 00:00:00;19,67;14,9;0;0,58;0;9,4;24,1;0;6502;3;5,7
2020-11-08 23:00:00;20,28;15,1;0;0,65;0;9,7;21,6;0;6502;3;
2020-11-08 22:00:00;21,17;15,4;0;0,74;0;10,8;27,4;0;6511;4;
2020-11-08 21:00:00;22,43;15,5;0;0,93;0;11,2;23,8;0;6519;4;
2020-11-08 20:00:00;24,24;15,4;26;1,25;0;11,5;26,3;0;6622;5;
2020-11-08 19:00:00;26,36;15,5;207;1,66;0;11,5;24,5;8828;6773;7;
2020-11-08 18:00:00;27,57;15,4;387;1,92;0;11,5;23,8;9658;6796;8;
2020-11-08 17:00:00;28,19;15,5;631;2,04;0;10,8;24,5;10108;6790;8;
2020-11-08 16:00:00;28,22;15,5;738;2,05;0;11,9;32;10075;6784;8;
2020-11-08 15:00:00;28,15;15,5;1027;2,03;0;13,3;30,6;10142;6787;8;
2020-11-08 14:00:00;27,37;15,7;1123;1,84;0;12,6;31,3;10199;6784;7;
2020-11-08 13:00:00;26,48;16;996;1,62;0;11,5;24,5;10185;6784;7;
2020-11-08 12:00:00;25,59;16,2;1003;1,42;0;12,2;28,1;10166;6781;6;
2020-11-08 11:00:00;23,03;16,9;644;0,87;0;10,1;24,1;10228;6793;4;
2020-11-08 10:00:00;21,32;16,6;295;0,62;0;9,7;22,7;9892;6790;3;
2020-11-08 09:00:00;19,92;16,4;182;0,44;0;8,3;16,2;9792;6787;2;
2020-11-08 08:00:00;18,77;15,9;68;0,33;0;6,8;19,8;8895;6784;2;
