LAT;DUMMY;;;;;;;;;
LONG;DUMMY;;;;;;;;;
;Temperatura do Ar [°C];Radiação Solar [W/m2];Vapor Press Deficit [kPa];Umidade Relativa [%];Precipitação [mm];Molhamento Foliar [min];Velocidade do vento max [m/s];Painel Solar [mV];Bateria [mV];
Data/Hora;méd;méd;méd;méd;soma;time;máx;últ;últ;Evapotranspiração Diária [mm]
2020-07-09 14:00:00;20,84;622;1,31;46,42;0;0;3,3;10185;6764;
2020-07-09 13:00:00;20,16;663;1,2;48,83;0;0;3,2;10098;6764;
2020-07-09 12:00:00;18,09;625;0,8;61,33;0;0;3,5;10103;6764;
2020-07-09 11:00:00;16,65;554;0,51;72,64;0;0;2,8;10161;6767;
2020-07-09 10:00:00;13,7;410;0,19;87,28;0;0;1,8;10079;6764;
2020-07-09 09:00:00;10,62;182;0;99,24;0;0;0,9;10027;6767;
2020-07-09 08:00:00;9,27;50;0;99,25;0;15;1,8;9499;6761;
2020-07-09 07:00:00;9,3;0;0;99,24;0;60;2,3;1155;6420;
2020-07-09 06:00:00;9,87;0;0;99,23;0;60;2;0;6431;
2020-07-09 05:00:00;10,74;0;0;98,99;0;15;1,7;0;6440;
2020-07-09 04:00:00;11,34;0;0,04;95,99;0;0;2,2;0;6448;
2020-07-09 03:00:00;12,69;0;0,13;90,79;0;0;3,7;0;6462;
2020-07-09 02:00:00;14,23;0;0,18;88,67;0;0;4,6;0;6462;
2020-07-09 01:00:00;16,04;0;0,12;92,8;0;0;4,2;0;6477;
2020-07-09 00:00:00;16,64;0;0,04;97,41;0;0;2,3;0;6482;1,7
2020-07-08 23:00:00;17,12;0;0,12;93,22;0;0;2,8;0;6494;
2020-07-08 22:00:00;17,56;0;0,2;89,47;0;0;3,8;0;6488;
2020-07-08 21:00:00;17,48;0;0,24;87,35;0;0;1,5;0;6491;
2020-07-08 20:00:00;17,61;0;0,29;85,32;0;0;2,5;0;6491;
2020-07-08 19:00:00;18,29;0;0,42;79,82;0;0;3;0;6496;
2020-07-08 18:00:00;19,18;0;0,61;72,27;0;0;4,7;0;6496;
2020-07-08 17:00:00;20,14;21;0,81;65,05;0;0;4,1;1711;6556;
2020-07-08 16:00:00;20,83;61;0,96;60,58;0;0;3,8;6863;6724;
2020-07-08 15:00:00;21,94;109;1,1;57,84;0;0;5,8;7683;6730;
2020-07-08 14:00:00;23,58;267;1,36;52,97;0;0;5,8;9562;6753;
2020-07-08 13:00:00;23,79;246;1,48;49,45;0;0;7,9;9025;6744;
2020-07-08 12:00:00;23,91;518;1,37;53,67;0;0;3,5;9499;6744;
2020-07-08 11:00:00;21,2;512;0,92;63,75;0;0;2,2;9744;6756;
2020-07-08 10:00:00;17,47;350;0,49;75,79;0;0;1,5;9964;6761;
2020-07-08 09:00:00;14,58;166;0,13;91,57;0;0;1,3;9797;6761;
2020-07-08 08:00:00;12,61;39;0,01;99,18;0;20;1,3;9135;6759;
2020-07-08 07:00:00;11,91;0;0;99,26;0;60;1,4;929;6411;
2020-07-08 06:00:00;12,31;0;0,01;99,19;0;60;0,8;0;6422;
2020-07-08 05:00:00;13,69;0;0,08;94,83;0;35;1,7;0;6434;
