LAT;-17,248257;;;;;;;;;;;;;
LONG;-50,130914;;;;;;;;;;;;;
;Temperatura do Ar [°C];Ponto de orvalho [°C];Radiação Solar [W/m2];DPV [kPa];Umidade Relativa do Ar [%];Precipitação [mm];Molhamento Foliar [min];Velocidade do Vento [m/s];Velocidade Máxima do Vento [m/s];Direção do Vento [deg];Painel Solar [mV];Bateria [mV];DeltaT [°C];
Data/Horário;avg;avg;avg;avg;avg;sum;time;avg;max;avg;last;last;avg;Daily ET0 [mm]
2020-11-04 11:00:00;27,56;11;614;2,35;35,96;0;0;1,5;3,4;118;9480;6770;10;
2020-11-04 10:00:00;24,38;12,9;657;1,55;49,63;0;0;0,5;1,7;189;6935;6719;7;
2020-11-04 09:00:00;19,95;13,6;270;0,76;67,6;0;0;0,3;2;242;6825;6610;4;
2020-11-04 08:00:00;17,3;14;52;0,36;81,34;0;0;0,2;1;240;6734;6519;2;
2020-11-04 07:00:00;16,75;13,4;3;0,35;81,3;0;0;0;0,7;230;3139;6326;2;
2020-11-04 06:00:00;16,68;13,7;0;0,31;83,3;0;0;0,4;1,3;191;0;6331;2;
2020-11-04 05:00:00;18,41;13,4;0;0,56;73,25;0;0;0,9;3,2;32;0;6326;3;
2020-11-04 04:00:00;18,22;12,7;0;0,61;70,49;0;0;0,2;0,8;269;0;6328;3;
2020-11-04 03:00:00;19,05;12,6;0;0,72;66,77;0;0;0;1,1;43;0;6328;4;
2020-11-04 02:00:00;19,99;11,5;0;0,96;58,47;0;0;0;0,8;210;0;6334;5;
2020-11-04 01:00:00;20,77;11,1;0;1,11;54,25;0;0;0,3;0,9;163;0;6340;6;
2020-11-04 00:00:00;21,36;11,1;0;1,2;52,34;0;0;0,3;1;170;0;6334;6;4,8
2020-11-03 23:00:00;22,57;10,9;0;1,42;47,81;0;0;0,9;2,1;195;0;6326;7;
2020-11-03 22:00:00;24,34;10,6;0;1,75;42,34;0;0;1,5;3,1;199;0;6377;8;
2020-11-03 21:00:00;25,82;10,7;0;2,03;38,88;0;0;1,7;4,9;191;0;6451;9;
2020-11-03 20:00:00;27,55;10,8;0;2,37;35,48;0;0;1,3;4,4;196;0;6576;10;
2020-11-03 19:00:00;29,81;10,3;114;2,92;30,15;0;0;1,9;4;220;5967;6733;12;
2020-11-03 18:00:00;31,05;10,7;356;3,21;28,69;0;0;1,9;4,9;214;8421;6790;12;
2020-11-03 17:00:00;30,79;11,5;298;3,06;30,81;0;0;1,3;3,1;196;9351;6796;12;
2020-11-03 16:00:00;31,2;9,9;283;3,31;26,95;0;0;1;3,3;216;9154;6801;13;
2020-11-03 15:00:00;31,35;10,1;669;3,33;27,19;0;0;1,3;3,8;212;9030;6790;13;
2020-11-03 14:00:00;31,68;9,5;1028;3,47;25,57;0;0;1,1;3,9;314;9988;6776;13;
2020-11-03 13:00:00;30,27;9,8;949;3,08;28,31;0;0;0,7;2,7;285;8833;6787;12;
2020-11-03 12:00:00;28,9;10,2;869;2,72;31,41;0;0;1;3;125;9207;6796;11;
2020-11-03 11:00:00;26,71;11;654;2,18;37,96;0;0;0,6;2,2;222;9648;6787;9;
2020-11-03 10:00:00;23,08;12,9;635;1,32;53,49;0;0;1;3,5;219;6892;6665;6;
2020-11-03 09:00:00;19,95;13,9;291;0,73;68,42;0;0;0,9;2,3;239;6815;6593;4;
2020-11-03 08:00:00;16,97;13,6;42;0,36;81,15;0;0;0,5;0,9;273;6686;6488;2;
2020-11-03 07:00:00;15,74;12,8;0;0,3;82,99;0;0;0,4;2;37;3134;6343;2;
2020-11-03 06:00:00;16,63;12,4;0;0,44;76,4;0;0;0,1;1,3;332;0;6334;3;
2020-11-03 05:00:00;17,43;12,4;0;0,53;72,76;0;0;0;0,8;287;0;6326;3;
2020-11-03 04:00:00;17,65;12,2;0;0,57;71,05;0;0;0,3;1;290;0;6334;3;
2020-11-03 03:00:00;18,38;12;0;0,69;66,82;0;0;0,3;1,1;262;0;6346;4;
2020-11-03 02:00:00;19,7;10,9;0;0,98;57,05;0;0;0,3;1,4;177;0;6340;5;
2020-11-03 01:00:00;20,36;10,8;0;1,08;54,66;0;0;0,2;1,1;206;0;6337;5;
2020-11-03 00:00:00;21,11;10,8;0;1,19;51,93;0;0;0,7;1,5;182;0;6343;6;5,9
2020-11-02 23:00:00;22,02;11,1;0;1,31;50,37;0;0;1,1;2,2;204;0;6326;6;
2020-11-02 22:00:00;23,07;11,5;0;1,45;48,27;0;0;1;2,2;210;0;6383;7;
2020-11-02 21:00:00;24,24;11,5;0;1,65;45,13;0;0;1;2,4;192;0;6499;7;
2020-11-02 20:00:00;26,53;11;0;2,15;38,03;0;0;1,2;2,6;182;0;6596;9;
2020-11-02 19:00:00;29,08;11,4;86;2,67;33,67;0;0;1,7;4,4;208;5114;6727;11;
2020-11-02 18:00:00;31,46;10,7;428;3,3;28,17;0;0;2,4;4,9;221;9327;6815;13;
2020-11-02 17:00:00;32,45;10,7;673;3,58;26,5;0;0;2,2;5,4;239;9590;6810;13;
2020-11-02 16:00:00;32,47;10,6;870;3,59;26,28;0;0;2;6;233;9667;6801;13;
2020-11-02 15:00:00;31,94;11,8;1016;3,34;29,47;0;0;1,5;4,9;237;9590;6787;12;
2020-11-02 14:00:00;30,62;12,8;1080;2,9;33,88;0;0;1,8;4,2;221;9969;6781;11;
2020-11-02 13:00:00;29,6;14,1;1082;2,53;38,93;0;0;1,4;3,6;146;9557;6787;10;
2020-11-02 12:00:00;27,65;16,6;855;1,8;51,23;0;0;1,3;3,8;129;8411;6764;7;
2020-11-02 11:00:00;25,62;15,8;668;1,47;54,95;0;0;1,4;4,5;171;6868;6650;6;
2020-11-02 10:00:00;22,36;15,2;647;0,96;64,41;0;0;1,5;2,9;213;6806;6588;4;
2020-11-02 09:00:00;19,7;15,5;320;0,52;77,04;0;0;1,6;3,6;214;6753;6545;3;
2020-11-02 08:00:00;17,63;15,4;36;0,25;87,36;0;0;0,6;1,7;241;6657;6465;1;
2020-11-02 07:00:00;16,93;15,2;0;0,18;90,09;0;0;1;2,3;241;3115;6328;1;
2020-11-02 06:00:00;17,09;15,4;0;0,18;90,4;0;0;0,9;2,6;247;0;6317;1;
2020-11-02 05:00:00;17,18;15,5;0;0,18;90,62;0;0;0,6;1,3;263;0;6323;1;
2020-11-02 04:00:00;18,12;15,6;0;0,28;86,06;0;0;0,4;1,4;234;0;6323;2;
2020-11-02 03:00:00;18,73;16,2;0;0,3;85,94;0;0;0,3;0,9;270;0;6328;2;
2020-11-02 02:00:00;19,54;16,5;0;0,37;83,25;0;0;0;0,5;263;0;6337;2;
2020-11-02 01:00:00;20,69;16,6;0;0,53;78,05;0;0;0;0,2;272;0;6348;3;
2020-11-02 00:00:00;21,83;16,1;0;0,77;70,25;0;0;0,1;1,6;250;0;6317;4;4,5
2020-11-01 23:00:00;22,62;16,1;0;0,89;67,37;0;0;0,1;0,7;255;0;6343;4;
2020-11-01 22:00:00;23,56;15,6;0;1,11;61,43;0;0;0,6;1,7;200;0;6420;5;
2020-11-01 21:00:00;24,66;15,9;0;1,28;58,54;0;0;0,9;1,9;195;0;6491;6;
2020-11-01 20:00:00;27,1;15,5;3;1,81;49,4;0;0;1,6;3,8;208;0;6596;7;
2020-11-01 19:00:00;29,31;16,1;95;2,22;45,25;0;0;1,8;4,4;208;5746;6750;8;
2020-11-01 18:00:00;30,08;15,9;199;2,44;42,62;0;0;2,1;4,3;213;8728;6824;9;
2020-11-01 17:00:00;31,15;15,8;539;2,72;39,85;0;0;1,7;4,6;208;8732;6781;10;
2020-11-01 16:00:00;30,85;16,5;765;2,55;42,5;0;0;1,4;3,5;214;9595;6801;9;
2020-11-01 15:00:00;30,5;17,4;872;2,36;45,8;0;0;1,3;3,4;245;8847;6784;9;
2020-11-01 14:00:00;29,46;17,9;980;2,04;50,27;0;0;1,3;8,5;249;9998;6778;8;
2020-11-01 13:00:00;27,63;19,2;853;1,45;60,58;0;0;0,8;2,9;310;10031;6787;6;
2020-11-01 12:00:00;25,72;19,6;719;1,02;69,08;0;0;0,7;2,6;348;9519;6824;4;
